"Gene","logFC_mouse","AveExpr","t","PValue","FDR","B","padj","negLog10P","Classification"
"Npr2",0.320407083740737,4.02408711269317,1.05475887741143,0.319787527692606,0.439885267693243,-6.13560266530046,0.439885267693243,0.356660582843938,"NO"
"Cenpo",-0.352590860856948,3.96188680888097,-1.07173693238488,0.312506528843196,0.432416520892672,-6.13566268180115,0.432416520892672,0.364097721759756,"NO"
"Vasn",0.118847717725621,1.4401317153914,0.193960647330704,0.850634596958481,0.897409338310473,-6.13570689603864,0.897409338310473,0.0470094155744981,"NO"
"Nae1",-0.400628870144633,5.77320526167921,-1.19976941346118,0.261705076114975,0.380275809815971,-6.13594803653272,0.380275809815971,0.419901300140816,"NO"
"Serpinb8",-0.324202063842024,2.09470633097735,-0.649695514088313,0.532571439116488,0.638761122816344,-6.13639096314487,0.638761122816344,0.194661524374721,"NO"
"Pdzrn4",0.766585987612763,6.77590417664777,1.16243399820965,0.275781896167309,0.39513700556831,-6.13654377965323,0.39513700556831,0.40325229565003,"NO"
"C330002G04Rik",-0.26629660349213,2.12062870051325,-0.619004843395337,0.551685903020697,0.655241359944104,-6.13662469209294,0.655241359944104,0.18359869697936,"NO"
"P3h4",0.342418665931278,3.19915242769731,0.916853069124323,0.38379374535991,0.502986094187226,-6.13671201707594,0.502986094187226,0.298444021507165,"NO"
"Clcn6",-0.489058670027986,5.73409869699579,-1.20006693063789,0.261595289003957,0.380219126766574,-6.13736058030647,0.380219126766574,0.419966039916013,"NO"
"Vps53",0.39596185488668,5.78325343951565,1.17646404861509,0.270422032227736,0.3895353478175,-6.13746267226586,0.3895353478175,0.409453126783335,"NO"
"Gm13814",-0.354351492481418,2.4808499244691,-0.779853865413405,0.45605212236921,0.571208207360083,-6.13782940635023,0.571208207360083,0.243205561061035,"NO"
"3110040N11Rik",0.281799507256776,3.03535278713636,0.869872001103814,0.40759914051409,0.526646977353089,-6.13784351768661,0.526646977353089,0.278480404069192,"NO"
"Kcnj4",0.226987391256104,1.8621964119948,0.481555256367034,0.641936257762173,0.73309557327772,-6.13784578018413,0.73309557327772,0.134839402928593,"NO"
"Fbxo46",0.345699360815132,3.61500390647122,0.975868532868878,0.355335084081316,0.475693136278543,-6.13806790595383,0.475693136278543,0.322673114919933,"NO"
"Snx11",-0.295730140286111,4.41793616024298,-1.12616656695146,0.29003248873669,0.410230260530147,-6.13821479945745,0.410230260530147,0.386972307164769,"NO"
"Cox16",0.421957867892559,8.26416145817944,1.10797496263546,0.297397565021636,0.416987920470566,-6.13832041798194,0.416987920470566,0.379876525719197,"NO"
"Pyroxd1",-0.416019416438452,4.52414024044512,-1.13816149061945,0.285255816677159,0.404966767227721,-6.13847592863776,0.404966767227721,0.392580614814473,"NO"
"Ctsb",0.743417978636519,6.82902572535663,1.15860436319631,0.277259671428763,0.396760510099978,-6.13857869968006,0.396760510099978,0.401471560053976,"NO"
"Sppl3",-0.3738992137994,7.66033533462558,-1.15815182300707,0.277434716291798,0.396799599552593,-6.13860300845424,0.396799599552593,0.40142877480462,"NO"
"Mpzl3",0.0284759791718847,1.379274307745,0.0501094980061208,0.961160295243005,0.973299360234764,-6.1395236432374,0.973299360234764,0.0117535620932367,"NO"
"Rasl12",0.391037647364932,3.09381524064617,0.887527838228492,0.398533247383862,0.518090006843456,-6.13991511696588,0.518090006843456,0.285594784502301,"NO"
"Rcn3",-0.441943826715555,2.26549634019798,-0.724281057752518,0.487805445129404,0.5986395134105,-6.14000465439073,0.5986395134105,0.222834620790535,"NO"
"Clcn1",0.299448777140346,2.5393584525473,0.760458391670844,0.466976418488522,0.580559435343749,-6.14035149552059,0.580559435343749,0.236153312324222,"NO"
"Donson",-0.313569831831503,3.87751121506129,-1.05265264654755,0.320699832963033,0.440782530232259,-6.1405058929146,0.440782530232259,0.355775626438663,"NO"
"Grm2",0.272769483212592,1.74528229891469,0.438370634672286,0.671740541049604,0.758319596494496,-6.14062495482691,0.758319596494496,0.120147720830717,"NO"
"Tnfsf13os",0.126003089584499,1.53486118197887,0.235419230967113,0.819300501025149,0.874600707062416,-6.14071431673924,0.874600707062416,0.0581901758898794,"NO"
"Dnttip2",-0.412476073458887,3.82290794719438,-1.04156963991202,0.32553341701594,0.445356243516884,-6.14079014613754,0.445356243516884,0.35129245486523,"NO"
"4930412C18Rik",-0.182584652182909,1.70886383614983,-0.403946679080355,0.695945932642915,0.777367940842335,-6.14082075376331,0.777367940842335,0.109373373921325,"NO"
"Amt",-0.397468512987822,4.27847932369556,-1.11385723411225,0.295000086763168,0.41478113752183,-6.14138119444748,0.41478113752183,0.382181001695839,"NO"
"Nlrx1",0.305142222622013,2.18976209201899,0.60397361898108,0.561190972319786,0.663446497923713,-6.1417471015177,0.663446497923713,0.178194094040494,"NO"
"Pja1",0.36217750062413,3.31643957477774,0.93312213635021,0.375787974304556,0.495313567832848,-6.14178535627945,0.495313567832848,0.305119775481642,"NO"
